S0,sigma,T,price,s.e,time elapsed
36,0.2,1.0,4.572968070784847,0.09712643992368428,0.3210256099700928
36,0.2,2.0,4.878353407007228,0.10206924459592864,0.31711411476135254
36,0.4,1.0,7.361633897172072,0.18323088721008784,0.24235892295837402
36,0.4,2.0,8.753986489225317,0.21778173573952975,0.2766735553741455
38,0.2,1.0,3.3204765753460155,0.09054598966912707,0.2610330581665039
38,0.2,2.0,3.877922351703054,0.10860833369413445,0.2573692798614502
38,0.4,1.0,6.386353142142323,0.17639829538857577,0.30335426330566406
38,0.4,2.0,7.911257265467763,0.2078837790333891,0.2495439052581787
40,0.2,1.0,2.3739565624486287,0.0888461269076147,0.24990415573120117
40,0.2,2.0,3.0080732257841993,0.10689036704573227,0.24656176567077637
40,0.4,1.0,5.427156983456913,0.1778037453880506,0.29419398307800293
40,0.4,2.0,7.1206140099030275,0.20622620309811227,0.2409677505493164
42,0.2,1.0,1.6419940642538295,0.07685105378619103,0.25952839851379395
42,0.2,2.0,2.2304649619318453,0.09565696161648063,0.24191975593566895
42,0.4,1.0,4.732550089341007,0.1753106673793517,0.2472062110900879
42,0.4,2.0,6.360716024133039,0.2019709411310361,0.24678778648376465
44,0.2,1.0,1.1729389261789116,0.07209539550510857,0.24172234535217285
44,0.2,2.0,1.7317157396981573,0.09193015044396606,0.24744129180908203
44,0.4,1.0,4.0668542734276665,0.16892156457053004,0.2596089839935303
44,0.4,2.0,5.710921784269978,0.20340497867742505,0.23432016372680664
